测试脚本名称,性能检查点, 标准时间,超时标准,超时上限,竞品值,容忍值,业务场景,实测值,结果
3W_出图设置,创建已打开立面平面视口,0.4,绝对值,0.5,1.93,3,1,0.344,提升
3W_出图设置,放置未打开明细表,0.5,绝对值,0.6,3,3,0,0.797,衰退
3W_出图设置,放置已打开明细表,0.5,绝对值,0.6,3,3,0,0.188,提升
3W_出图设置,视口夹点编辑,0.4,绝对值,0.5,1,1,0,0.282,提升
3W_出图设置,视口内创建,0.1,绝对值,0.2,0.5,1,0,0.109,正常
3W_出图设置,视口移动,0.0,绝对值,0.1,0.5,1,0,0.047,正常
3W_出图设置,导出图纸,51.0,相对值,0.05,15,60,1,47.735,提升
3W_参数修改及显示过滤,修改类型参数,0.0,绝对值,0.1,3.6,1,1,0.015,正常
3W_参数修改及显示过滤,切换类型,0.0,绝对值,0.1,2.77,1,1,0.0,正常
3W_参数修改及显示过滤,修改定位参数,0.0,绝对值,0.3,0.5,1,1,0.312,衰退
3W_参数修改及显示过滤,修改标识参数,0.0,绝对值,0.3,8.32,1,1,0.281,正常
3W_参数修改及显示过滤,框选所有,0.0,绝对值,0.3,1,0.3,1,0.188,正常
3W_参数修改及显示过滤,选择过滤,0.0,绝对值,1.0,1,0.3,1,0.687,正常
3W_参数修改及显示过滤,隐藏所选,0.0,绝对值,0.3,1,0.3,1,0.172,正常
3W_参数修改及显示过滤,重置隐藏,0.0,绝对值,0.3,1,0.3,1,0.109,正常
3W_参数修改及显示过滤,隐藏项目构件,0.0,绝对值,0.3,1,0.3,1,0.188,正常
3W_参数修改及显示过滤,显示项目构件,0.3,绝对值,0.5,1,0.3,1,0.312,正常
3W_参数修改及显示过滤,显示过滤墙,0.3,绝对值,0.5,1,0.3,1,0.281,提升
3W_附属构件创建与编辑,门创建预览节点,0.0,绝对值,0.1,0.1,0.3,1,0.047,正常
3W_附属构件创建与编辑,门创建,0.0,绝对值,0.1,0.3,0.3,1,0.062,正常
3W_附属构件创建与编辑,门完整创建,2.0,绝对值,2.5,,,0,2.031,正常
3W_附属构件创建与编辑,门移动节点,0.0,绝对值,0.1,0.1,0.3,1,0.016,正常
3W_附属构件创建与编辑,门完整移动,0.0,绝对值,0.5,,,0,0.359,正常
3W_附属构件创建与编辑,门临时尺寸修改,0.0,绝对值,0.1,0.3,0.3,1,0.078,正常
3W_附属构件创建与编辑,门方向切换,0.0,绝对值,0.1,0.3,0.3,1,0.078,正常
3W_附属构件创建与编辑,单个门类型切换,0.0,绝对值,0.1,0.3,0.3,1,0.062,正常
3W_附属构件创建与编辑,单个门删除,0.1,绝对值,0.2,0.3,0.3,1,0.109,正常
3W_附属构件创建与编辑,单个门删除undo,0.0,绝对值,0.1,0.3,0.3,1,0.063,正常
3W_附属构件创建与编辑,转角窗创建,0.0,绝对值,0.1,0.3,0.3,1,0.078,正常
3W_附属构件创建与编辑,转角窗完整创建,3.5,绝对值,4.0,,,0,3.094,提升
3W_附属构件创建与编辑,转角窗方向切换,0.0,绝对值,0.1,0.3,0.3,1,0.078,正常
3W_附属构件创建与编辑,板洞创建-进入编辑模式,1.5,绝对值,2.0,,,0,0.875,提升
3W_附属构件创建与编辑,板洞创建,0.2,绝对值,0.5,0.3,0.3,1,0.235,正常
3W_附属构件创建与编辑,竖井创建,2.0,绝对值,2.5,0.3,0.3,1,1.469,提升
3W_附属构件创建与编辑,栏杆创建,0.0,绝对值,0.1,0.3,0.3,1,0.093,正常
3W_主体构件创建与编辑,柱创建,0.0,绝对值,0.1,,0.3,1,0.078,正常
3W_主体构件创建与编辑,墙创建预览节点,0.0,绝对值,0.1,,0.3,1,0.032,正常
3W_主体构件创建与编辑,墙创建,0.1,绝对值,0.2,,0.3,1,0.171,正常
3W_主体构件创建与编辑,墙完整创建,1.7,绝对值,1.8,,,0,1.421,提升
3W_主体构件创建与编辑,墙删除,0.1,绝对值,0.2,,0.3,1,0.125,正常
3W_主体构件创建与编辑,墙删除undo,0.0,绝对值,0.1,,0.3,1,0.062,正常
3W_主体构件创建与编辑,高频_墙夹点编辑节点,0.0,绝对值,0.1,,0.3,1,0.063,正常
3W_主体构件创建与编辑,墙夹点编辑,0.7,绝对值,0.8,,0.5,1,0.484,提升
3W_主体构件创建与编辑,墙完整夹点编辑,1.2,绝对值,1.5,,,0,1.0,提升
3W_主体构件创建与编辑,墙临时尺寸修改,0.0,绝对值,0.1,,0.3,1,0.078,正常
3W_主体构件创建与编辑,墙对齐,0.0,绝对值,0.1,,0.3,1,0.032,正常
3W_主体构件创建与编辑,墙附着,0.0,绝对值,0.1,,0.3,1,0.11,衰退
3W_主体构件创建与编辑,楼板编辑模式,0.5,绝对值,0.6,,1,1,0.375,提升
3W_主体构件创建与编辑,高频_楼板创建,0.1,绝对值,0.2,,1,1,0.125,正常
3W_主体构件创建与编辑,楼板分割,0.9,绝对值,1.0,,1,1,0.641,提升
3W_构件创建补充,构件载入,2.0,绝对值,2.3,,0.3,1,1.266,提升
3W_构件创建补充,墙修角,0.2,绝对值,0.3,,0.5,1,0.156,提升
3W_构件创建补充,房间删除,0.1,绝对值,0.2,,0.3,1,0.11,正常
3W_构件创建补充,房间预览,0.0,绝对值,0.1,,0.3,1,0.0,正常
3W_构件创建补充,房间创建,0.1,绝对值,0.2,,0.3,1,0.079,提升
3W_构件创建补充,房间完整创建,3.0,绝对值,3.1,,,0,1.829,提升
3W_构件创建补充,房间名称修改,0.0,绝对值,0.1,,0.3,1,0.0,正常
3W_构件创建补充,双击房间名称,0.1,绝对值,0.2,,0.3,1,0.109,正常
3W_构件创建补充,窗预览,0.0,绝对值,0.1,,0.3,1,0.0,正常
3W_构件创建补充,窗创建,0.0,绝对值,0.1,,0.3,1,0.079,正常
3W_构件创建补充,窗完整创建,1.2,绝对值,1.5,,,0,0.969,提升
3W_构件创建补充,完整立面捕捉,0.0,绝对值,0.1,,,0
3W_构件创建补充,立面捕捉,0.0,绝对值,0.1,,0.3,1
3W_构件创建补充,立面编辑模式捕捉,0.0,绝对值,0.1,,0.3,1
3W_构件创建补充,完整立面编辑模式捕捉,0.0,绝对值,0.1,,,0
3W_竖向构件创建,平面双跑楼梯预览,0.4,绝对值,0.5,,1,1,0.328,提升
3W_竖向构件创建,平面双跑楼梯创建预览节点,0.0,绝对值,0.1,,0.3,1,0.015,正常
3W_竖向构件创建,平面双跑楼梯创建,0.1,绝对值,0.2,,0.3,1,0.094,提升
3W_竖向构件创建,双跑楼梯参数修改,0.1,绝对值,0.2,,0.3,1,0.156,正常
3W_竖向构件创建,双跑楼梯移动节点,0.0,绝对值,0.1,,0.3,1,0.031,正常
3W_竖向构件创建,双跑楼梯移动,0.5,绝对值,0.6,,,0,0.422,提升
3W_竖向构件创建,平面剪刀楼梯预览,0.1,绝对值,0.2,,1,1,0.11,正常
3W_竖向构件创建,平面剪刀楼梯创建预览节点,0.0,绝对值,0.1,,0.3,1,0.016,正常
3W_竖向构件创建,平面剪刀楼梯创建,0.2,绝对值,0.3,,0.3,1,0.218,正常
3W_竖向构件创建,剪刀楼梯参数修改,0.2,绝对值,0.3,,0.3,1,0.187,提升
3W_竖向构件创建,剪刀楼梯移动节点,0.0,绝对值,0.1,,0.3,1,0.032,正常
3W_竖向构件创建,剪刀楼梯移动,0.4,绝对值,0.5,,,0,0.36,提升
3W_竖向构件创建,自由楼梯创建,0.0,绝对值,0.3,,0.3,1,0.172,正常
3W_竖向构件创建,创建人行坡道,0.1,绝对值,0.2,,,0,0.094,提升
3W_竖向构件创建,绘制坡段,0.3,绝对值,0.4,,,0,0.25,提升
3W_竖向构件创建,创建坡道平台,0.0,绝对值,0.1,,,0,0.016,正常
3W_竖向构件创建,人行坡道绘制完成,1.0,绝对值,1.1,,,0,0.141,提升
3W_竖向构件创建,人行坡道进入编辑模式,0.0,绝对值,0.3,,,0,0.141,正常
3W_竖向构件创建,人行坡道退出编辑模式,0.0,绝对值,0.3,,,0,0.172,正常
3W_构件编辑,删除楼板,0.1,绝对值,0.2,0.5,0.3,1,0.406,衰退
3W_构件编辑,撤销楼板删除,0.0,绝对值,0.1,0.5,0.3,1,0.985,衰退
3W_构件编辑,墙移动,0.1,绝对值,0.2,0.5,0.5,1,0.094,提升
3W_构件编辑,墙对齐,0.1,绝对值,0.2,0.5,1,1,0.063,提升
3W_构件编辑,编辑楼板,0.2,绝对值,0.3,0.5,0.5,1,0.219,正常
3W_构件编辑,退出富文本编辑,0.0,绝对值,0.1,0.5,0.3,1,0.079,正常
3W_构件编辑,双击富文本编辑,0.0,绝对值,0.1,0.5,0.3,1,0.047,正常
3W_构件编辑,移动富文本节点,0.0,绝对值,0.1,0.5,0.3,1,0.062,正常
3W_构件编辑,复制富文本,0.1,绝对值,0.2,0.5,,0,0.094,提升
3W_构件编辑,镜像富文本,0.1,绝对值,0.2,0.5,,0,0.109,正常
3W_视图创建和编辑,立面视图创建,2.7,绝对值,3.0,1.17,10,1,2.64,提升
3W_视图创建和编辑,三维视图创建,1.5,绝对值,1.8,1.74,3,1,1.343,提升
3W_视图创建和编辑,平面视图显示裁剪框,0.1,绝对值,0.2,1,0.3,1,0.109,正常
3W_视图创建和编辑,平面视图视口裁剪,0.3,绝对值,0.6,3,0.3,1,0.297,提升
3W_视图创建和编辑,平面视图裁剪框编辑,0.5,绝对值,0.8,1,0.5,1,0.641,正常
3W_视图创建和编辑,平面视图绘图模式-不显示隐藏线,0.0,绝对值,0.1,1,1,1,0.063,正常
3W_视图创建和编辑,三维剖面框夹点编辑,0.5,绝对值,0.6,1,0.5,1,0.547,正常
3W_视图创建和编辑,复制视图（模型）,0.6,绝对值,0.7,2.8,1,1,0.703,衰退
3W_视图创建和编辑,平面视图创建,0.0,绝对值,0.1,1.17,1,1,0.078,正常
3W_视图创建和编辑,视图切换,0.2,绝对值,0.3,0.5,1,1,0.203,正常
3W_视图创建和编辑,缩放匹配,0.0,绝对值,0.1,0.1,0.3,1,0.0,正常
3W_视图创建和编辑,局部三维视图创建,0.4,绝对值,0.7,2,1,1,0.453,正常
3W_视图创建和编辑,局部三维剖面框夹点编辑,0.2,绝对值,0.5,1,0.5,1,0.156,提升
3W_视图创建和编辑,平面视图更改视图比例,1.5,绝对值,1.6,0.5,3,1,1.547,正常
3W_门窗大样,标准明细表创建,1.2,绝对值,1.3,3,3,1,0.984,提升
3W_门窗大样,大样图创建节点,0.0,绝对值,0.1,0.1,0.3,1,0.062,正常
3W_门窗大样,大样图创建,0.2,绝对值,0.3,0.1,0.3,1,0.219,正常
3W_门窗大样,大样图完整创建,1.9,绝对值,2.0,3,,0,1.469,提升
3W_门窗大样,大样图夹点编辑节点,0.1,绝对值,0.2,0.1,0.3,1,0.11,正常
3W_门窗大样,大样图夹点编辑,0.3,绝对值,0.4,0.1,0.3,1,0.203,提升
3W_门窗大样,大样图夹点完整编辑,0.9,绝对值,1.0,0.1,,0,0.625,提升
3W_门窗大样,大样图移动节点,0.0,绝对值,0.1,0.1,0.3,1,0.015,正常
3W_门窗大样,大样图移动,0.3,绝对值,0.4,0.1,0.3,1,0.234,提升
3W_门窗大样,大样图完整移动,0.7,绝对值,1.0,0.1,,0,0.437,提升
3W_门窗大样,明细表创建节点,0.0,绝对值,0.1,0.1,0.3,1,0.0,正常
3W_门窗大样,图纸明细表创建,0.7,绝对值,1.0,0.1,,0,0.516,提升
3W_门窗大样,门窗大样图视口创建,0.0,绝对值,0.1,0.1,0.3,1,0.016,正常
3W_门窗大样,大样图预览节点,0.0,绝对值,0.1,0.1,0.3,1,0.0,正常
3W_门窗大样,门窗大样图视口放置,0.2,绝对值,0.3,0.1,0.3,1,0.234,正常
3W_门窗大样,创建门窗明细表,0.7,绝对值,1.0,,,0,0.203,提升
3W_门窗大样,多次拖拽门窗表,1.0,绝对值,2.0,,,0,0.109,提升
3W_门窗大样,门窗表放置完成,1.0,绝对值,2.0,,,0,0.641,提升
3W_门窗大样,刷新门窗表,10.0,绝对值,11.0,,,0,10.859,正常
3W_整层模块编辑同步,整层模块柱创建同步,5.5,绝对值,6.0,,,0,3.641,提升
3W_整层模块编辑同步,整层模块楼梯添加同步,5.0,绝对值,5.5,,,0,4.063,提升
3W_整层模块编辑同步,整层模块板洞创建同步,5.0,绝对值,5.5,,,0,4.156,提升
3W_整层模块编辑同步,整层模块创建栏杆同步,1.5,绝对值,2.0,,,0,1.125,提升
3W_整层模块编辑同步,整层模块楼板创建同步,1.5,绝对值,2.0,,,0,1.125,提升
3W_整层模块编辑同步,整层模块删除柱同步,4.5,绝对值,5.0,,,0,2.719,提升
3W_整层模块编辑同步,整层模块楼梯删除同步,1.0,绝对值,1.5,,,0,0.766,提升
3W_整层模块编辑同步,整层模块板洞删除同步,2.5,绝对值,3.0,,,0,2.093,提升
3W_整层模块编辑同步,整层模块栏杆删除同步,0.5,绝对值,1.0,,,0,0.515,正常
3W_整层模块编辑同步,整层模块楼板删除同步,0.5,绝对值,1.0,,,0,0.531,正常
3W_整层模块部分删除同步,整层注释模块部分删除同步,0.1,绝对值,0.4,,,0,0.14,正常
3W_整层模块部分删除同步,整层模块部分删除同步,29.0,相对值,0.1,,,0,28.766,正常
3W_整层模块跨楼层复制,整层模块楼层复制,65.0,相对值,0.05,,,0,66.812,正常
3W_整层模块跨楼层复制,模块编辑模式,0.6,绝对值,0.9,,,0,0.422,提升
3W_整层模块跨楼层复制,整层模块墙创建同步,3.0,绝对值,3.3,,10,1,2.578,提升
3W_整层模块跨楼层复制,整层模块墙删除同步,0.8,绝对值,1.1,,,0,0.61,提升
3W_整层模块跨楼层复制,整层模块窗删除同步,6.0,绝对值,6.3,,,0,3.203,提升
3W_整层模块跨楼层复制,整层模块窗创建同步,5.0,绝对值,5.3,,,0,2.859,提升
3W_整层模块跨楼层复制,整层模块房间删除同步,0.5,绝对值,0.8,,,0,0.485,提升
3W_整层模块跨楼层复制,整层模块房间创建同步,16.0,相对值,0.1,,,0,15.531,正常
3W_整层模块轮廓增大同步,整层模块轮廓增大同步,30.0,相对值,0.1,,,0,30.375,正常
3W_整层注释模块编辑同步,整层添加门窗编号同步,0.0,绝对值,0.3,,,0,0.156,正常
3W_整层注释模块编辑同步,整层添加文字注释同步,0.0,绝对值,0.3,,,0,0.125,正常
3W_整层注释模块编辑同步,整层添加二维线同步,0.0,绝对值,0.3,,,0,0.125,正常
3W_整层注释模块编辑同步,整层添加对齐尺寸标注同步,0.0,绝对值,0.3,,,0,0.14,正常
3W_整层注释模块编辑同步,整层添加标高标注同步,0.0,绝对值,0.3,,,0,0.157,正常
3W_整层注释模块编辑同步,整层添加房间标注同步,0.0,绝对值,0.3,,,0,0.125,正常
3W_整层注释模块编辑同步,整层删除门窗编号同步,0.1,绝对值,0.2,,,0,0.11,正常
3W_整层注释模块编辑同步,整层删除文字注释同步,0.1,绝对值,0.2,,,0,0.109,正常
3W_整层注释模块编辑同步,整层删除二维线同步,0.1,绝对值,0.2,,,0,0.11,正常
3W_整层注释模块编辑同步,整层删除对齐尺寸标注同步,0.1,绝对值,0.2,,,0,0.11,正常
3W_整层注释模块编辑同步,整层删除标高标注同步,0.1,绝对值,0.2,,,0,0.11,正常
3W_整层注释模块编辑同步,整层删除房间标注同步,0.1,绝对值,0.2,,,0,0.109,正常
3W_户型模块创建编辑,户型模块封装,1.5,绝对值,2.0,,3,1,1.078,提升
3W_户型模块创建编辑,户型模块创建实例启动,1.0,绝对值,1.5,,1,1,0.672,提升
3W_户型模块创建编辑,户型模块实例创建,3.5,绝对值,4.0,,3,1,2.531,提升
3W_户型模块创建编辑,户型模块注释实例创建,0.0,绝对值,0.3,,1,1,0.109,正常
3W_户型模块创建编辑,单个户型模块删除,0.0,绝对值,0.5,,1,1,0.266,正常
3W_户型模块创建编辑,核心筒模块实例创建,2.0,绝对值,3.0,,3,1,1.531,提升
3W_户型模块创建编辑,单个户型复制,1.0,绝对值,2.0,,3,1,0.672,提升
3W_户型模块创建编辑,单个户型移动,1.0,绝对值,2.0,,3,1,0.594,提升
3W_户型模块创建编辑,单个户型旋转,1.0,绝对值,2.0,,3,1,0.594,提升
3W_户型模块创建编辑,模块实例切换,1.0,绝对值,2.0,,3,1,1.141,正常
3W_户型模块创建编辑,单个户型解组,1.0,绝对值,2.0,,1,1,0.734,提升
3W_户型模块更新导出,户型模块修改同步,38.0,相对值,0.05,,5,1,38.015,正常
3W_户型模块复制,多个户型模块镜像,9.0,绝对值,10.0,,20,1,6.36,提升
3W_户型模块复制,户型模块楼层复制,80.0,相对值,0.05,,240,1,82.828,正常
3W_构件复制,单层镜像,5.0,绝对值,6.0,6,6,1,3.797,提升
3W_构件复制,单层复制,2.0,绝对值,3.0,7,6,1,1.64,提升
3W_构件复制,楼层复制,18.0,绝对值,19.0,190,60,1,18.344,正常
3W_平面标注创建与编辑,轴线自动标注,0.2,绝对值,0.3,,1,1,0.094,提升
3W_平面标注创建与编辑,门窗编号创建,0.2,绝对值,0.3,,1,1,0.234,正常
3W_平面标注创建与编辑,平面对齐标注第一拾取,0.0,绝对值,0.1,,0.3,1,0.0,正常
3W_平面标注创建与编辑,平面对齐标注第一拾取后预览,0.0,绝对值,0.1,,0.3,1,0.0,正常
3W_平面标注创建与编辑,平面对齐标注第二拾取,0.0,绝对值,0.1,,0.3,1,0.016,正常
3W_平面标注创建与编辑,平面对齐标注区间创建,0.0,绝对值,0.1,,0.3,1,0.0,正常
3W_平面标注创建与编辑,平面对齐标注完整创建,0.4,绝对值,0.5,,,0,0.234,提升
3W_平面标注创建与编辑,平面对齐标注移动节点,0.0,绝对值,0.1,,0.3,1,0.031,正常
3W_平面标注创建与编辑,平面对齐标注移动,0.4,绝对值,0.5,,0.3,0,0.266,提升
3W_平面标注创建与编辑,平面对齐标注区间删除,0.0,绝对值,0.1,,0.3,1,0.031,正常
3W_平面标注创建与编辑,平面对齐标注区间连接,0.0,绝对值,0.1,,0.3,1,0.031,正常
3W_平面标注创建与编辑,平面对齐标注文字移动节点,0.0,绝对值,0.1,,0.3,1,0.032,正常
3W_平面标注创建与编辑,平面对齐标注文字移动,0.4,绝对值,0.5,,0.3,0,0.328,提升
3W_平面标注创建与编辑,平面标高标注创建预览,0.0,绝对值,0.1,,0.3,1,0.0,正常
3W_平面标注创建与编辑,平面标高标注创建,0.0,绝对值,0.1,,0.3,1,0.016,正常
3W_平面标注创建与编辑,平面标高标注完整创建,0.2,绝对值,0.3,,,0,0.141,提升
3W_平面标注创建与编辑,平面二维线创建预览节点,0.0,绝对值,0.1,,0.3,1,0.0,正常
3W_平面标注创建与编辑,平面二维线创建,0.0,绝对值,0.1,,0.3,1,0.016,正常
3W_平面标注创建与编辑,平面二维线完整创建,0.3,绝对值,0.4,,0.3,0,0.188,提升
3W_平面标注创建与编辑,平面填充轮廓线预览节点,0.0,绝对值,0.1,,0.3,1,0.0,正常
3W_平面标注创建与编辑,平面填充创建,0.0,绝对值,0.1,,0.3,1,0.047,正常
3W_平面标注创建与编辑,平面填充完整创建,0.7,绝对值,0.8,,,0,0.407,提升
3W_平面标注创建与编辑,平面引出标注预览,0.0,绝对值,0.1,,0.3,1,0.0,正常
3W_平面标注创建与编辑,平面引出标注创建,0.0,绝对值,0.1,,0.3,1,0.015,正常
3W_平面标注创建与编辑,平面引出标注双击编辑,0.0,绝对值,0.1,,0.3,1,0.078,正常
3W_平面标注创建与编辑,平面对齐标注选中,0.1,绝对值,0.2,,0.3,1,0.093,提升
3W_平面标注创建与编辑,平面对齐标注双击编辑,0.1,绝对值,0.2,,0.3,1,0.109,正常
3W_平面标注创建与编辑,平面对齐标注编辑区间,0.0,绝对值,0.1,,0.3,1,0.078,正常
3W_立面标注创建与编辑,立面对齐标注第一拾取,0.0,绝对值,0.1,,0.3,1,0.0,正常
3W_立面标注创建与编辑,立面对齐标注第二拾取,0.0,绝对值,0.1,,0.3,1,0.016,正常
3W_立面标注创建与编辑,立面对齐标注区间创建,0.0,绝对值,0.1,,0.3,1,0.015,正常
3W_立面标注创建与编辑,立面对齐标注完整创建,0.8,绝对值,0.9,,,0,0.375,提升
3W_立面标注创建与编辑,立面对齐标注移动节点,0.1,绝对值,0.2,,0.3,1,0.047,提升
3W_立面标注创建与编辑,立面对齐标注移动,0.2,绝对值,0.3,,0.3,1,0.188,提升
3W_立面标注创建与编辑,立面对齐标注文字移动节点,0.0,绝对值,0.1,,0.3,1,0.047,正常
3W_立面标注创建与编辑,立面对齐标注文字移动,0.2,绝对值,0.3,,0.3,1,0.157,提升
3W_立面标注创建与编辑,立面标高标注创建预览,0.0,绝对值,0.1,,0.3,1,0.0,正常
3W_立面标注创建与编辑,立面标高标注创建,0.0,绝对值,0.1,,0.3,1,0.015,正常
3W_立面标注创建与编辑,立面标高标注完整创建,0.1,绝对值,0.2,,,0,0.078,提升
3W_立面标注创建与编辑,立面引出标注预览,0.0,绝对值,0.1,,0.3,1,0.016,正常
3W_立面标注创建与编辑,立面引出标注创建,0.0,绝对值,0.1,,0.3,1,0.047,正常
3W_立面标注创建与编辑,立面引出标注完整创建,1.0,绝对值,1.1,,,0,0.547,提升
3W_立面标注创建与编辑,立面填充轮廓线预览节点,0.0,绝对值,0.1,,0.3,1,0.015,正常
3W_立面标注创建与编辑,立面填充创建,0.1,绝对值,0.2,,0.3,1,0.078,提升
3W_立面标注创建与编辑,立面填充完整创建,1.4,绝对值,1.5,,,0,0.844,提升
3W_立面标注创建与编辑,立面二维线创建预览节点,0.0,绝对值,0.1,,0.3,1,0.0,正常
3W_立面标注创建与编辑,立面二维线创建,0.1,绝对值,0.2,,0.3,1,0.078,提升
3W_立面标注创建与编辑,立面二维线完整创建,0.5,绝对值,0.6,,,0,0.312,提升
3W_立面标注创建与编辑,立面对齐标注选中,0.2,绝对值,0.3,,0.3,1,0.156,提升
3W_立面标注创建与编辑,立面对齐标注双击编辑,0.2,绝对值,0.3,,0.3,1,0.125,提升
3W_立面标注创建与编辑,立面对齐标注编辑区间,0.1,绝对值,0.2,,0.3,1,0.109,正常
3W_剖面标注创建与编辑,剖面第三道尺寸线移动节点,0.0,绝对值,0.1,,0.3,1,0.11,衰退
3W_剖面标注创建与编辑,剖面第三道尺寸线移动,0.0,绝对值,0.1,,0.3,1,0.015,正常
3W_剖面标注创建与编辑,剖面第三道尺寸线完整移动,0.6,绝对值,0.7,,,0,0.312,提升
3W_剖面标注创建与编辑,剖面第三道尺寸文字移动节点,0.0,绝对值,0.1,,0.3,1,0.0,正常
3W_剖面标注创建与编辑,剖面第三道尺寸文字移动,0.2,绝对值,0.3,,0.3,1,0.094,提升
3W_剖面标注创建与编辑,剖面第三道尺寸文字完整移动,0.2,绝对值,0.3,,,0,0.157,提升
3W_剖面标注创建与编辑,剖面对齐标注第一拾取,0.0,绝对值,0.1,,0.3,1,0.031,正常
3W_剖面标注创建与编辑,剖面对齐标注第二拾取,0.0,绝对值,0.1,,0.3,1,0.0,正常
3W_剖面标注创建与编辑,剖面对齐标注区间创建,0.0,绝对值,0.1,,0.3,1,0.015,正常
3W_剖面标注创建与编辑,剖面对齐标注完整创建,3.0,绝对值,3.1,,,0,1.516,提升
3W_剖面标注创建与编辑,剖面标高标注创建预览,0.0,绝对值,0.1,,0.3,1,0.0,正常
3W_剖面标注创建与编辑,剖面标高标注创建,0.0,绝对值,0.1,,0.3,1,0.032,正常
3W_剖面标注创建与编辑,剖面标高标注完整创建,0.6,绝对值,0.7,,,0,0.172,提升
3W_剖面标注创建与编辑,剖面引出标注预览,0.0,绝对值,0.1,,0.3,1,0.0,正常
3W_剖面标注创建与编辑,剖面引出标注创建,0.0,绝对值,0.1,,0.3,1,0.031,正常
3W_剖面标注创建与编辑,剖面引出标注完整创建,1.3,绝对值,1.4,,,0,0.438,提升
3W_剖面标注创建与编辑,剖面引出标注文字编辑,0.0,绝对值,0.1,,0.3,1,0.079,正常
3W_剖面标注创建与编辑,剖面填充轮廓线预览节点,0.0,绝对值,0.1,,0.3,1,0.015,正常
3W_剖面标注创建与编辑,剖面填充创建,0.0,绝对值,0.1,,0.3,1,0.063,正常
3W_剖面标注创建与编辑,剖面填充完整创建,1.4,绝对值,1.5,,,0,0.735,提升
3W_剖面标注创建与编辑,剖面二维线创建预览节点,0.0,绝对值,0.1,,0.3,1,0.0,正常
3W_剖面标注创建与编辑,剖面二维线创建,0.1,绝对值,0.2,,0.3,1,0.079,提升
3W_剖面标注创建与编辑,剖面二维线完整创建,1.3,绝对值,1.4,,,0,0.781,提升
3W_剖面标注创建与编辑,剖面对齐标注选中,0.2,绝对值,0.3,,0.3,1,0.109,提升
3W_剖面标注创建与编辑,剖面对齐标注双击编辑,0.2,绝对值,0.3,,0.3,1,0.14,提升
3W_剖面标注创建与编辑,剖面对齐标注编辑区间,0.2,绝对值,0.3,,0.3,1,0.157,提升
3W_批量创建与调整,平面轴线批量调整节点,0.0,绝对值,0.1,,0.3,1,0.016,正常
3W_批量创建与调整,平面轴线批量调整完整,0.6,绝对值,0.7,,,0,0.453,提升
